object_type,function_name,signature_text
Wire,GetAttributeString,7 Feature->GetAttributeString (String): String Package: CATPackageMethodObject 5 ! x. |! 2 . py mo 2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Wire,GetPartFeature,7 GetPartFeature (iFeature: Feature): Part Package: CATPackageMethodTlg = ] ] s . Pe m2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Wire,HasAttribute,"7 Feature->HasAttribute (String): Boolean Package: CATPackageMethodObject = | ys ! ZN a, FR “7 a nw 2 Sli se @@ Lethe ea 7a SRD 8 eae econ @"
Wire,IsOwnedBy,7 Feature->lsOwnedBy (owner: Feature): Boolean Package: CATPackageMethodObject = ] y s . Pe m2 Clie ee @@ LewQtAe' 7 SRD S nae Ootirenmercrer @
Wire,IsOwnedByString,7 Feature->lsOwnedByString (OwnerName: String): Boolean Package: KnowledgeExpertFunctions = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y
Wire,IsPatternInstanceLocked,7 IsPatternInstanceLocked (patterninstance: Feature): Boolean Package: CATPackageGenerativeKnowledge = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y
Wire,IsSupporting,7 Feature->IsSupporting (typeName: String): Boolean Package: CATPackageMethodObject 5 | ~/=a mt = . sR {Ae ol S&aesS @Q@@ Lethe O77 Bw & BD B ([comaiarsar OD betrernvexcsicee @®
Wire,ListAllOuterLayerObjects,7 Feature->IsSupporting (typeName: String): Boolean Package: CATPackageMethodObject 5 | ~/=a mt = . sR {Ae ol S&aesS @Q@@ Lethe O77 Bw & BD B ([comaiarsar OD betrernvexcsicee @®
Wire,ListAttributeNames,"7 Feature->ListAttributeNames (Typefitter: String, DynamicOnly: Boolean): List Package: CATPackageMethodObject = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
Wire,ListDirectlyCoveredObjects,"7 Feature->ListAttributeNames (Typefitter: String, DynamicOnly: Boolean): List Package: CATPackageMethodObject = ] y ZN 2 . a ma | &] fey 074 RS [Oo aH see m3 ia | ; a Ge ee = rim) 2 | Geometrical Set.1 ¥|Ocefine In iverc Coie @Y"
